,pop_total,median_income,state,ZCTA5CE10
637,61760,21350,12,32822
638,31251,24690,12,32909
639,1235,16454,12,32616
640,25025,33414,12,32750
641,69497,34567,12,32828
642,14959,20349,12,32641
643,4367,24738,12,32464
644,4352,32109,12,32667
645,64268,35993,12,32765
646,46482,26482,12,32824
647,26459,25033,12,32962
648,0,,12,32356
649,7101,45308,12,32266
650,37195,34731,12,32065
651,4491,29875,12,32580
652,4678,21887,12,32668
653,53763,27095,12,32703
654,24064,23215,12,32060
655,2575,25140,12,32094
656,971,15833,12,32139
657,5723,25748,12,32145
658,10710,21133,12,32148
659,10228,38671,12,32169
660,4535,26241,12,32180
661,1871,23672,12,32187
662,1309,18672,12,32190
663,19899,30898,12,32217
664,12685,21233,12,32219
665,39000,32501,12,32257
666,34036,43595,12,32258
667,52296,47683,12,32259
668,15544,20833,12,32310
669,22264,38541,12,32311
670,4193,22433,12,32331
671,1128,20718,12,32336
672,244,23125,12,32355
673,2779,27102,12,32403
674,5216,21946,12,32113
675,36395,34240,12,32034
676,16590,23137,12,32055
677,514,9171,12,32061
678,7420,21931,12,32066
679,3903,23171,12,32071
680,451,29844,12,32079
681,8267,20734,12,32110
682,22344,24547,12,32119
683,6117,30723,12,32124
684,29920,27023,12,32159
685,30841,20659,12,32208
686,34945,18521,12,32209
687,14460,27857,12,32176
688,26845,20971,12,32177
689,62048,28282,12,32210
690,27246,48547,12,32250
691,32327,27903,12,32277
692,3887,24181,12,32320
693,1933,26805,12,32346
694,18720,24533,12,32351
695,23416,26306,12,32025
696,9418,25704,12,32046
697,11811,22586,12,32054
698,57305,31413,12,32068
699,7919,20167,12,32179
700,2558,19292,12,32181
701,35488,29899,12,32207
702,12981,31314,12,32220
703,24979,31926,12,32233
704,51589,32273,12,32246
705,31317,25138,12,32301
706,6321,20183,12,32321
707,4716,22092,12,32324
708,3415,24824,12,32328
709,651,22826,12,32330
710,1077,15104,12,32332
711,2024,27309,12,32334
712,17564,21542,12,32428
713,1173,26321,12,32430
714,0,,12,32432
715,10413,28580,12,32439
716,3299,22478,12,32442
717,3165,24260,12,32443
718,159,,12,32447
719,7962,23497,12,32465
720,24105,32776,12,32536
721,21708,30169,12,32548
722,12657,29631,12,32569
723,32783,49596,12,32312
724,4390,28876,12,32577
725,33130,39205,12,32578
726,6949,6421,12,32603
727,5639,23630,12,32619
728,392,35893,12,32648
729,31,,12,32681
730,45323,36555,12,32708
731,36961,26915,12,32724
732,4728,30828,12,32735
733,3165,31575,12,32764
734,22454,25116,12,32778
735,15027,53488,12,32963
736,369,12796,12,32970
737,1272,31633,12,32350
738,39503,27103,12,32404
739,1958,20833,12,32420
740,7514,22394,12,32424
741,4081,21186,12,32455
742,14742,28313,12,32534
743,3488,21501,12,32462
744,5795,31872,12,32466
745,42444,25585,12,32514
746,3099,29333,12,32567
747,25556,37366,12,32605
748,30214,21517,12,32607
749,1032,26645,12,32622
750,375,30303,12,32658
751,12436,24114,12,32696
752,2796,28274,12,32702
753,22485,24587,12,32726
754,5943,30071,12,32730
755,10848,35636,12,32736
756,27990,30573,12,32757
757,3014,20772,12,32759
758,29603,41655,12,32779
759,51659,28723,12,32792
760,20376,32429,12,32829
761,14557,42890,12,32903
762,32138,31304,12,32904
763,45037,25287,12,32907
764,18462,26388,12,32966
765,28617,28259,12,32958
766,22036,24058,12,32960
767,30900,28561,12,32221
768,55018,36540,12,32225
769,5867,26133,12,32234
770,59402,29220,12,32244
771,13431,20844,12,32254
772,27551,36549,12,32937
773,34749,22150,12,32807
774,10283,30903,12,32920
775,1533,30000,12,32925
776,11974,38383,12,32951
777,48507,30422,12,32303
778,28525,31771,12,32327
779,3221,33365,12,32343
780,41578,24329,12,33009
781,73828,17130,12,33012
782,53419,25009,12,33018
783,55298,26532,12,33312
784,25718,48234,12,33331
785,49045,34462,12,33324
786,23811,39485,12,33327
787,29626,38857,12,33328
788,18207,41383,12,33408
789,15472,42234,12,33412
790,61323,39874,12,33414
791,33743,25127,12,33417
792,40257,39376,12,33433
793,44489,30267,12,33436
794,24597,25838,12,33444
795,31703,31054,12,33445
796,33241,29017,12,33462
797,63577,25611,12,33463
798,12703,44569,12,33483
799,20677,41783,12,33487
800,5532,16711,12,33493
801,557,21635,12,33521
802,20576,23921,12,33525
803,28187,39694,12,33544
804,2717,19671,12,33514
805,18835,23656,12,33523
806,28156,39887,12,33543
807,21505,32138,12,33566
808,11546,21781,12,33592
809,17655,17116,12,33605
810,46799,21998,12,33610
811,33070,40087,12,33611
812,27305,35258,12,33625
813,18650,35201,12,33635
814,16321,43731,12,33706
815,32348,30285,12,33713
816,7296,47152,12,33715
817,33971,25746,12,33756
818,27320,31630,12,33764
819,5432,41101,12,33785
820,34370,20969,12,33801
821,30347,27900,12,33809
822,26420,21895,12,33825
823,8081,37022,12,33194
824,12222,44113,12,33305
825,3062,29234,12,33827
826,8324,25521,12,33850
827,15923,24884,12,33872
828,618,14464,12,33877
829,35592,34147,12,33133
830,38920,17261,12,33135
831,30221,28063,12,33138
832,19938,45008,12,33140
833,67455,26821,12,33157
834,45147,25384,12,33020
835,76508,27430,12,33024
836,3496,34408,12,33036
837,34471,36352,12,33040
838,205,50089,12,33122
839,7992,14908,12,33128
840,31056,35954,12,33143
841,47123,22995,12,33162
842,44341,28106,12,33179
843,68581,32270,12,33186
844,53047,31215,12,33196
845,15398,34681,12,34292
846,17749,25305,12,34420
847,11903,25199,12,34452
848,19794,24850,12,34470
849,17143,27586,12,34474
850,24352,18282,12,34482
851,7697,24033,12,34602
852,27209,23745,12,34606
853,11548,44474,12,34102
854,22175,26356,12,34113
855,32911,42094,12,34119
856,40998,22744,12,34208
857,21932,22373,12,34234
858,25734,29293,12,34471
859,13179,16341,12,34475
860,13603,25374,12,34479
861,19188,26768,12,34480
862,41872,34259,12,34655
863,22169,31924,12,34677
864,61594,30774,12,34711
865,3505,34558,12,34756
866,544,20167,12,34762
867,24995,23907,12,34769
868,3728,27140,12,34773
869,38097,26759,12,34785
870,9717,33534,12,34987
871,10741,38203,12,34996
872,26614,24125,12,34491
873,18382,33962,12,34695
874,2942,32168,12,34737
875,7465,52219,12,34242
876,32229,21265,12,34266
877,28614,26896,12,34287
878,8002,23836,12,34431
879,6574,28193,12,34433
880,8021,24021,12,34434
881,17454,26632,12,34446
882,17455,23527,12,34465
883,20963,25640,12,34481
884,3637,27468,12,34484
885,23688,23623,12,34652
886,13304,24874,12,34669
887,730,,12,34681
888,29088,28947,12,34684
889,20257,24881,12,34691
890,18223,29195,12,34114
891,67,46250,12,34141
892,38720,28783,12,34698
893,4591,31266,12,34734
894,15303,32084,12,34235
895,10394,22900,12,34448
896,24637,41938,12,34202
897,12673,23163,12,34432
898,10692,23597,12,34450
899,11380,23471,12,34461
900,31344,23023,12,34472
901,23279,25966,12,34476
902,42227,28039,12,34609
903,33272,25007,12,34667
904,43,33625,12,34679
905,27445,25095,12,34689
906,2860,24185,12,34705
907,243,27019,12,34739
908,24520,27691,12,34104
909,27064,30225,12,34112
910,36111,24823,12,34116
911,30534,17621,12,34142
912,16462,28934,12,34210
913,596,22386,12,34215
914,724,43009,12,34216
915,18336,28902,12,34223
916,15716,32540,12,34239
917,11442,40943,12,34240
918,45109,21164,12,34743
919,863,21790,12,34760
920,45864,31374,12,34761
921,16603,18375,12,34950
922,383,31042,12,32361
923,0,,12,32399
924,42818,25719,12,34983
925,17800,28501,12,34994
926,19271,29256,12,34736
927,16450,48238,12,34108
928,17039,31139,12,34117
929,340,31350,12,34138
930,204,45313,12,34139
931,5079,40671,12,34217
932,24750,37018,12,34219
933,7283,50441,12,34228
934,35240,32057,12,34232
935,31901,32609,12,34243
936,18653,32874,12,34285
937,39534,32564,12,34293
938,8169,22372,12,34436
939,10424,20609,12,34488
940,585,24330,12,34498
941,14698,25666,12,34610
942,17998,38647,12,34685
943,14858,27009,12,34731
944,1041,33528,12,34797
945,41567,26429,12,34952
946,5393,21130,12,34981
947,28265,35611,12,34986
948,7115,30953,12,34251
949,20472,33875,12,34275
950,10621,22132,12,34453
951,34802,23802,12,34608
952,24251,37527,12,34109
953,70705,27380,12,34953
954,11659,28732,12,34222
955,16422,22963,12,34224
956,7674,42799,12,34229
957,30341,31419,12,34231
958,20049,40417,12,34238
959,157,14000,12,34268
960,20178,30446,12,34286
961,9043,22779,12,34428
962,14752,25640,12,34442
963,19998,26527,12,34473
964,48146,22280,12,34668
965,7319,49500,12,33957
966,10391,22932,12,33982
967,20053,25431,12,33598
968,10031,63548,12,33480
969,4543,33156,12,33576
970,51745,20058,12,33612
971,49060,21343,12,33614
972,47512,27019,12,33615
973,5318,4977,12,33620
974,24619,25357,12,33709
975,21866,21770,12,33714
976,26627,26347,12,33770
977,23125,30667,12,33772
978,26848,45339,12,33028
979,10816,32511,12,33037
980,31797,19318,12,33054
981,37612,23698,12,33060
982,22692,38289,12,33062
